hid,lr,drop,wd,best_val,best_test
48,0.0003,0.3,0.0,0.3636363744735718,0.5909090638160706
48,0.0003,0.3,1e-05,0.40909090638160706,0.3181818127632141
48,0.0003,0.3,5e-05,0.5454545617103577,0.5
48,0.0003,0.3,0.0001,0.6363636255264282,0.5
48,0.0003,0.4,0.0,0.5454545617103577,0.40909090638160706
48,0.0003,0.4,1e-05,0.5909090638160706,0.6363636255264282
48,0.0003,0.4,5e-05,0.5,0.5
48,0.0003,0.4,0.0001,0.40909090638160706,0.7272727489471436
48,0.0003,0.5,0.0,0.5454545617103577,0.6363636255264282
48,0.0003,0.5,1e-05,0.4545454680919647,0.6363636255264282
48,0.0003,0.5,5e-05,0.3636363744735718,0.5454545617103577
48,0.0003,0.5,0.0001,0.40909090638160706,0.6818181872367859
48,0.0005,0.3,0.0,0.5,0.4545454680919647
48,0.0005,0.3,1e-05,0.4545454680919647,0.5454545617103577
48,0.0005,0.3,5e-05,0.40909090638160706,0.40909090638160706
48,0.0005,0.3,0.0001,0.4545454680919647,0.5
48,0.0005,0.4,0.0,0.6363636255264282,0.5454545617103577
48,0.0005,0.4,1e-05,0.5909090638160706,0.6818181872367859
48,0.0005,0.4,5e-05,0.6363636255264282,0.5454545617103577
48,0.0005,0.4,0.0001,0.40909090638160706,0.5454545617103577
48,0.0005,0.5,0.0,0.5,0.7272727489471436
48,0.0005,0.5,1e-05,0.5,0.6363636255264282
48,0.0005,0.5,5e-05,0.4545454680919647,0.5454545617103577
48,0.0005,0.5,0.0001,0.5,0.5
48,0.0007,0.3,0.0,0.7272727489471436,0.5
48,0.0007,0.3,1e-05,0.5909090638160706,0.5454545617103577
48,0.0007,0.3,5e-05,0.4545454680919647,0.5
48,0.0007,0.3,0.0001,0.5454545617103577,0.4545454680919647
48,0.0007,0.4,0.0,0.5909090638160706,0.4545454680919647
48,0.0007,0.4,1e-05,0.5909090638160706,0.5454545617103577
48,0.0007,0.4,5e-05,0.5,0.7272727489471436
48,0.0007,0.4,0.0001,0.5454545617103577,0.6818181872367859
48,0.0007,0.5,0.0,0.4545454680919647,0.5454545617103577
48,0.0007,0.5,1e-05,0.5454545617103577,0.6363636255264282
48,0.0007,0.5,5e-05,0.5909090638160706,0.4545454680919647
48,0.0007,0.5,0.0001,0.5909090638160706,0.6363636255264282
48,0.001,0.3,0.0,0.4545454680919647,0.5
48,0.001,0.3,1e-05,0.5454545617103577,0.5454545617103577
48,0.001,0.3,5e-05,0.5909090638160706,0.5909090638160706
48,0.001,0.3,0.0001,0.40909090638160706,0.5909090638160706
48,0.001,0.4,0.0,0.5909090638160706,0.5909090638160706
48,0.001,0.4,1e-05,0.5909090638160706,0.40909090638160706
48,0.001,0.4,5e-05,0.6363636255264282,0.6818181872367859
48,0.001,0.4,0.0001,0.7272727489471436,0.5454545617103577
48,0.001,0.5,0.0,0.5909090638160706,0.5
48,0.001,0.5,1e-05,0.5,0.7727272510528564
48,0.001,0.5,5e-05,0.4545454680919647,0.5
48,0.001,0.5,0.0001,0.5454545617103577,0.6818181872367859
64,0.0003,0.3,0.0,0.6363636255264282,0.4545454680919647
64,0.0003,0.3,1e-05,0.4545454680919647,0.5
64,0.0003,0.3,5e-05,0.4545454680919647,0.6363636255264282
64,0.0003,0.3,0.0001,0.3636363744735718,0.6363636255264282
64,0.0003,0.4,0.0,0.6818181872367859,0.6818181872367859
64,0.0003,0.4,1e-05,0.5909090638160706,0.6818181872367859
64,0.0003,0.4,5e-05,0.5,0.6818181872367859
64,0.0003,0.4,0.0001,0.3636363744735718,0.6363636255264282
64,0.0003,0.5,0.0,0.4545454680919647,0.6363636255264282
64,0.0003,0.5,1e-05,0.5454545617103577,0.7727272510528564
64,0.0003,0.5,5e-05,0.6818181872367859,0.6818181872367859
64,0.0003,0.5,0.0001,0.40909090638160706,0.5909090638160706
64,0.0005,0.3,0.0,0.5909090638160706,0.5909090638160706
64,0.0005,0.3,1e-05,0.4545454680919647,0.5
64,0.0005,0.3,5e-05,0.5454545617103577,0.6363636255264282
64,0.0005,0.3,0.0001,0.4545454680919647,0.5909090638160706
64,0.0005,0.4,0.0,0.5,0.8181818127632141
64,0.0005,0.4,1e-05,0.5454545617103577,0.5909090638160706
64,0.0005,0.4,5e-05,0.5454545617103577,0.5909090638160706
64,0.0005,0.4,0.0001,0.5909090638160706,0.5909090638160706
64,0.0005,0.5,0.0,0.5454545617103577,0.6818181872367859
64,0.0005,0.5,1e-05,0.5,0.5909090638160706
64,0.0005,0.5,5e-05,0.5909090638160706,0.6363636255264282
64,0.0005,0.5,0.0001,0.6363636255264282,0.5454545617103577
64,0.0007,0.3,0.0,0.6363636255264282,0.5454545617103577
64,0.0007,0.3,1e-05,0.5454545617103577,0.40909090638160706
64,0.0007,0.3,5e-05,0.5909090638160706,0.6363636255264282
64,0.0007,0.3,0.0001,0.5454545617103577,0.6818181872367859
64,0.0007,0.4,0.0,0.5909090638160706,0.5909090638160706
64,0.0007,0.4,1e-05,0.5909090638160706,0.5
64,0.0007,0.4,5e-05,0.4545454680919647,0.6363636255264282
64,0.0007,0.4,0.0001,0.6818181872367859,0.5909090638160706
64,0.0007,0.5,0.0,0.5,0.5454545617103577
64,0.0007,0.5,1e-05,0.5454545617103577,0.7272727489471436
64,0.0007,0.5,5e-05,0.5454545617103577,0.5
64,0.0007,0.5,0.0001,0.5454545617103577,0.6363636255264282
64,0.001,0.3,0.0,0.5909090638160706,0.5
64,0.001,0.3,1e-05,0.5454545617103577,0.5909090638160706
64,0.001,0.3,5e-05,0.5909090638160706,0.5909090638160706
64,0.001,0.3,0.0001,0.5,0.5909090638160706
64,0.001,0.4,0.0,0.8181818127632141,0.5909090638160706
64,0.001,0.4,1e-05,0.5909090638160706,0.5454545617103577
64,0.001,0.4,5e-05,0.5454545617103577,0.5454545617103577
64,0.001,0.4,0.0001,0.5,0.6363636255264282
64,0.001,0.5,0.0,0.5,0.5454545617103577
64,0.001,0.5,1e-05,0.5454545617103577,0.6363636255264282
64,0.001,0.5,5e-05,0.4545454680919647,0.6363636255264282
64,0.001,0.5,0.0001,0.6818181872367859,0.5454545617103577
